category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
grid,384,last1,14,0.01,0.077246755361557,0.7610693400167085,0.48717948717948717,1.0,0.2982456140350877,0.4858272907053395
grid,384,last1,14,0.03,0.043855227530002594,0.7769423558897244,0.5769230769230769,0.9047619047619048,0.45614035087719296,0.5734879867439934
grid,384,last1,14,0.05,0.03547344356775284,0.772765246449457,0.6282051282051282,0.8571428571428571,0.543859649122807,0.6175824175824176
grid,384,last1,14,0.1,0.02908460423350334,0.7552213868003341,0.5897435897435898,0.8571428571428571,0.49122807017543857,0.5828877005347594
grid,384,last1,20,0.01,0.07060573250055313,0.7761069340016709,0.5128205128205128,1.0,0.3333333333333333,0.5125
grid,384,last1,20,0.03,0.04067898914217949,0.7994987468671679,0.6025641025641025,0.9047619047619048,0.49122807017543857,0.5972013993003498
grid,384,last1,20,0.05,0.03488113358616829,0.7961570593149541,0.5897435897435898,0.8571428571428571,0.49122807017543857,0.5828877005347594
grid,384,last1,20,0.1,0.028961461037397385,0.7677527151211362,0.5769230769230769,0.8571428571428571,0.47368421052631576,0.5712143928035982
grid,384,last2,8,0.01,0.05516337603330612,0.8771929824561404,0.6282051282051282,1.0,0.49122807017543857,0.6251864125932063
grid,384,last2,8,0.03,0.04713854938745499,0.8663324979114453,0.6538461538461539,0.9523809523809523,0.543859649122807,0.6468220694281401
grid,384,last2,8,0.05,0.04351092129945755,0.8638262322472849,0.6153846153846154,0.9523809523809523,0.49122807017543857,0.6112956810631229
grid,384,last2,8,0.1,0.03906920552253723,0.8504594820384295,0.5769230769230769,0.9523809523809523,0.43859649122807015,0.5751774220168344
grid,384,last2,14,0.01,0.08149015158414841,0.7861319966583125,0.5897435897435898,0.9523809523809523,0.45614035087719296,0.5873015873015873
grid,384,last2,14,0.03,0.06212320551276207,0.8070175438596492,0.6538461538461539,0.9523809523809523,0.543859649122807,0.6468220694281401
grid,384,last2,14,0.05,0.054523687809705734,0.8245614035087719,0.6538461538461539,0.9523809523809523,0.543859649122807,0.6468220694281401
grid,384,last2,14,0.1,0.04665626958012581,0.8011695906432749,0.6282051282051282,0.9047619047619048,0.5263157894736842,0.620660741237632
grid,384,last2,20,0.01,0.07816368341445923,0.8145363408521303,0.6025641025641025,1.0,0.45614035087719296,0.600924244924905
grid,384,last2,20,0.03,0.06236404553055763,0.8178780284043442,0.6153846153846154,1.0,0.47368421052631576,0.6130952380952381
grid,384,last2,20,0.05,0.05539632961153984,0.8103592314118631,0.5769230769230769,0.9047619047619048,0.45614035087719296,0.5734879867439934
grid,384,last2,20,0.1,0.047037459909915924,0.7777777777777778,0.6025641025641025,0.9047619047619048,0.49122807017543857,0.5972013993003498
grid,384,last3,8,0.01,0.049068473279476166,0.8847117794486216,0.6666666666666666,0.9523809523809523,0.5614035087719298,0.6585858585858586
grid,384,last3,8,0.03,0.04558796063065529,0.8688387635756056,0.6282051282051282,0.9523809523809523,0.5087719298245614,0.6231884057971014
grid,384,last3,8,0.05,0.04157742112874985,0.8579782790309106,0.6153846153846154,0.9523809523809523,0.49122807017543857,0.6112956810631229
grid,384,last3,8,0.1,0.03907489776611328,0.8596491228070176,0.5769230769230769,0.9523809523809523,0.43859649122807015,0.5751774220168344
grid,384,last3,14,0.01,0.08490568399429321,0.7360066833751044,0.5128205128205128,0.9523809523809523,0.3508771929824561,0.5128205128205128
